fragment, used, inprojects, sloc, usedsloc, percent,,
1888284_0.java,1,1,49,7,0.14,,
3938161_1.java,1,1,49,7,0.14,,
4199439_0.java,1,1,37,5,0.14,,
24686880_0.java,1,1,46,6,0.13,,
5058210_0.java,1,1,55,7,0.13,,
18646292_0.java,1,1,57,7,0.12,,
6291363_0.java,1,1,41,5,0.12,,
3376242_0.java,1,1,42,5,0.12,,
10292516_0.java,1,1,79,9,0.11,,
20102983_0.java,1,1,53,6,0.11,,
10376035_0.java,1,1,90,10,0.11,,
18934994_1.java,1,1,54,6,0.11,,
13678077_0.java,1,1,73,8,0.11,,
5209299_0.java,1,1,64,7,0.11,,
23877939_1.java,1,1,56,6,0.11,,
24824472_5.java,1,1,56,6,0.11,,
22261392_0.java,1,1,119,12,0.1,,
5338272_0.java,1,1,72,7,0.1,,
13678077_1.java,1,1,84,8,0.1,,
11958726_0.java,1,1,95,9,0.09,,
8701537_0.java,1,1,80,7,0.09,,
1805910_0.java,1,1,58,5,0.09,,
23691316_0.java,1,1,58,5,0.09,,
17220973_0.java,1,1,59,5,0.08,,
1805151_0.java,1,1,71,6,0.08,,
17979690_0.java,1,1,71,6,0.08,,
24780122_0.java,1,1,60,5,0.08,,
16813782_0.java,1,1,61,5,0.08,,
9168410_0.java,1,1,125,10,0.08,,
25569957_0.java,1,1,63,5,0.08,,
11279561_0.java,1,1,127,10,0.08,,
7183748_0.java,1,1,64,5,0.08,,
20690969_0.java,1,1,81,6,0.07,,
22683989_0.java,1,1,98,7,0.07,,
20513679_0.java,1,1,132,9,0.07,,
18764836_0.java,1,1,133,9,0.07,,
15373186_0.java,1,1,133,9,0.07,,
2770163_2.java,1,1,105,7,0.07,,
