fragment, used, inprojects, sloc, usedsloc, percent,
12728036_0.java,5,5,11,5,0.45,
3144444_0.java,1,1,11,5,0.45,
2440228_0.java,1,1,11,5,0.45,
9556760_1.java,1,1,10,5,0.50,
22987070_0.java,5,5,9,5,0.56,
18928097_0.java,1,1,9,5,0.56,
20414379_0.java,1,1,9,5,0.56,
7733735_0.java,1,1,8,5,0.63,
227049_0.java,1,1,8,5,0.63,
19044749_0.java,1,1,8,5,0.63,
9010878_0.java,1,1,8,5,0.63,
15383688_0.java,1,1,8,5,0.63,
13631637_0.java,2,2,7,5,0.71,
24748828_0.java,1,1,7,5,0.71,
6722760_0.java,2,2,6,5,0.83,
11930074_0.java,1,1,6,5,0.83,
8611693_0.java,1,1,6,5,0.83,
11913733_0.java,1,1,6,5,0.83,
Total,24802,,,,,
MIN,1,,,5,0.01,
MAX,551,,,63,0.94,
AVG,38.33,,,7.53,0.27,
MED,3,,,7,0.22,
MOD,1,,,7,0.25,
STDEV,87.00384515,,,3.87461167,0.216158094,
