fragment, used, inprojects, sloc, usedsloc, percent,
15933476_0.java,115345,794,284,4,0.014084507,
5685113_1.java,115249,1808,35,4,0.114285714,
7154181_0.java,114636,5890,147,4,0.027210884,
24836600_0.java,114402,741,264,4,0.015151515,
7211514_0.java,114290,4206,135,6,0.044444444,
16186991_1.java,113248,830,18,17,0.944444444,
20793662_0.java,112966,3767,47,6,0.127659574,
3206282_0.java,111734,3493,79,6,0.075949367,
25496932_1.java,110934,7043,445,6,0.013483146,
21378543_0.java,110927,5693,89,6,0.06741573,
14430025_1.java,110766,5935,21,4,0.19047619,
12449361_1.java,110447,5533,30,4,0.133333333,
4973083_0.java,110316,945,140,4,0.028571429,
9984165_0.java,109931,3837,68,6,0.088235294,
20690969_0.java,109650,5608,81,4,0.049382716,
23368411_1.java,109584,3501,52,6,0.115384615,
25316710_0.java,109478,7730,83,4,0.048192771,
19634129_1.java,108200,8415,93,5,0.053763441,
8353827_0.java,108155,3701,36,6,0.166666667,
8910943_0.java,106941,5626,163,4,0.024539877,
23741547_0.java,106599,3443,167,6,0.035928144,
23691166_0.java,106409,6230,247,4,0.016194332,
5764008_1.java,106215,3931,164,6,0.036585366,
571013_0.java,106198,5347,46,4,0.086956522,
12421197_0.java,104301,6329,107,4,0.037383178,
25147883_0.java,103813,5552,82,4,0.048780488,
23218992_0.java,103100,5473,46,6,0.130434783,
18347060_0.java,103033,5630,17,4,0.235294118,
325281_0.java,102998,5606,31,4,0.129032258,
15550182_0.java,102726,3294,57,6,0.105263158,
5240258_2.java,102667,4624,63,6,0.095238095,
20020013_4.java,102635,5667,12,4,0.333333333,
18951018_0.java,102607,4611,31,6,0.193548387,
22579608_0.java,102563,5345,23,4,0.173913043,
25561128_0.java,102313,5854,54,4,0.074074074,
14725042_0.java,102144,5626,127,4,0.031496063,
14268392_0.java,101921,684,232,4,0.017241379,
23313352_0.java,101861,694,22,4,0.181818182,
12016505_0.java,101773,665,58,4,0.068965517,
13253016_0.java,101754,665,164,4,0.024390244,
22041869_0.java,101747,662,17,4,0.235294118,
19203040_1.java,101243,5407,15,4,0.266666667,
25357726_2.java,101243,5407,21,4,0.19047619,
16578613_0.java,101236,5344,19,4,0.210526316,
22143896_0.java,101230,5534,109,4,0.036697248,
13576203_0.java,101214,5342,238,4,0.016806723,
13098108_1.java,101163,5354,87,4,0.045977011,
6378580_0.java,100992,5332,25,4,0.16,
20781073_3.java,100965,5303,45,4,0.088888889,
13727150_0.java,100875,5309,19,4,0.210526316,
12616501_0.java,100853,5313,21,4,0.19047619,
7757780_0.java,100848,5320,38,4,0.105263158,
19029130_2.java,100834,5314,13,4,0.307692308,
15149141_0.java,100817,5386,86,4,0.046511628,
14908594_0.java,100768,5342,32,4,0.125,
6998067_0.java,100710,5300,47,4,0.085106383,
13178563_0.java,100707,5300,9,4,0.444444444,
9560813_2.java,100707,5300,10,5,0.5,
25586675_0.java,100707,5300,9,4,0.444444444,
2596553_0.java,100707,5300,11,5,0.454545455,
20435010_2.java,100707,5300,9,4,0.444444444,
25072883_0.java,100707,5300,11,4,0.363636364,
