fragment, used, inprojects, sloc, usedsloc, percent
9140500_1.java,91,91,7,4,0.5714285714285714
7976628_0.java,1,1,17,5,0.29411764705882354
8230652_0.java,1,1,56,4,0.07142857142857142
23826491_0.java,4,4,41,4,0.0975609756097561
3719139_0.java,9289,3297,20,6,0.3
4343152_0.java,81,63,18,6,0.3333333333333333
5691603_0.java,1,1,57,4,0.07017543859649122
7676199_0.java,1,1,5,4,0.8
3439102_0.java,5,3,9,4,0.4444444444444444
10160176_0.java,1033,854,13,5,0.38461538461538464
8162805_0.java,28,28,21,5,0.23809523809523808
13431252_0.java,6990,2258,16,4,0.25
20428347_0.java,1,1,34,7,0.20588235294117646
7828419_0.java,233212,5084,93,6,0.06451612903225806
23178145_0.java,325,69,37,4,0.10810810810810811
24969043_1.java,46,40,61,5,0.08196721311475409
7416218_0.java,1004,964,24,4,0.16666666666666666
18985728_0.java,2,2,28,5,0.17857142857142858
17356707_2.java,69,25,46,4,0.08695652173913043
25077659_0.java,38,26,8,5,0.625
11067751_0.java,1620,288,18,6,0.3333333333333333
8474959_0.java,51,47,33,4,0.12121212121212122
13556051_1.java,212594,5300,11,4,0.36363636363636365
23272461_3.java,63530,3570,37,6,0.16216216216216217
11416667_1.java,8674,938,20,4,0.2
8699127_0.java,20841,5220,110,4,0.03636363636363636
13094989_0.java,19,17,17,5,0.29411764705882354
23603459_0.java,25371,6467,51,6,0.11764705882352941
1347430_0.java,38,21,30,4,0.13333333333333333
20087878_0.java,2,2,10,4,0.4
6272185_2.java,8,8,10,5,0.5
16794019_0.java,8,8,60,4,0.06666666666666667
24231072_3.java,440571,5512,146,6,0.0410958904109589
25555607_1.java,1,1,12,6,0.5
13283131_1.java,20,20,96,4,0.041666666666666664
22206460_0.java,3,1,62,5,0.08064516129032258
11980059_0.java,896,423,69,5,0.07246376811594203
22740637_0.java,181,129,31,4,0.12903225806451613
9069659_0.java,1,1,9,6,0.6666666666666666
17066408_0.java,6753889,5766,141,4,0.028368794326241134
4922990_0.java,665,35,26,4,0.15384615384615385
23798316_0.java,342472,4868,110,4,0.03636363636363636
11420784_0.java,1,1,22,6,0.2727272727272727
15284168_0.java,1,1,30,4,0.13333333333333333
23346349_1.java,40,31,8,5,0.625
24998758_0.java,2390,1217,135,4,0.02962962962962963
11782008_0.java,66,33,67,7,0.1044776119402985
16183125_0.java,1,1,64,6,0.09375
14150660_0.java,244,131,9,5,0.5555555555555556
